Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VKI,Invesco Advantage Municipal Income Trust II,10.96,$486.53M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vki
ISR,"IsoRay, Inc.",0.6601,$36.32M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/isr
ISDR,Issuer Direct Corporation,10.4,$30.2M,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/isdr
JRJR,"JRjr33, Inc.",0.5,$19.69M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jrjr
KIQ,Kelso Technologies Inc,0.84,$39.2M,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/kiq
KLDX,Klondex Mines Ltd.,4.65,$817.64M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kldx
LTS,Ladenburg Thalmann Financial Services Inc,2.35,$455.65M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lts
LTS^A,Ladenburg Thalmann Financial Services Inc,25.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lts^a
LAQ,"Latin America Equity Fund, Inc. (The)",22.43,$167.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/laq
LGL,"LGL Group, Inc. (The)",4.986,$13.29M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lgl
LBY,"Libbey, Inc.",14.18,$310.04M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lby
LIQT,"LiqTech International, Inc.",0.4908,$19.4M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/liqt
MCZ,Mad Catz Interactive Inc,0.0686,$5.04M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mcz
MAG,MAG Silver Corporation,13.97,$1.13B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mag
MJCO,Majesco,5.06,$184.68M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mjco
MSTX,"Mast Therapeutics, Inc.",0.1005,$25.6M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mstx
MHH,"Mastech Digital, Inc",6.88,$30.76M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/mhh
MTNB,"Matinas Biopharma Holdings, Inc.",3.24,$282.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mtnb
IPB,"Merrill Lynch & Co., Inc.",26.6,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ipb
MXC,Mexco Energy Corporation,3.73,$7.6M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mxc
CCA,MFS California Insured Municipal Trust,11.3101,$31.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cca
MPO,"MIDSTATES PETROLEUM COMPANY, INC.",18.2,$454.91M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mpo
MLSS,"Milestone Scientific, Inc.",1.6,$48.31M,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/mlss
MVF,"MuniVest Fund, Inc.",9.49,$610.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mvf
MZA,"MuniYield Arizona Fund, Inc.",14.2996,$65.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mza
NNVC,"NanoViricides, Inc.",1.11,$69.73M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nnvc
ATEST,NASDAQ TEST STOCK,25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest.a
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest.b
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atest.c
NHC,National HealthCare Corporation,73.19,$1.11B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/nhc
NAVB,"Navidea Biopharmaceuticals, Inc.",0.6319,$101.86M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/navb
NTIP,"Network-1 Technologies, Inc.",4.7,$109.65M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ntip
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,13.82,$76.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbw
NHS,Neuberger Berman High Yield Strategies Fund,11.7,$228.62M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nhs
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,14.82,$278.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbh
NML,Neuberger Berman MLP Income Fund Inc.,9.81,$555.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nml
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,12.24,$62.14M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbo
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",5.2137,$247.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nro
UWN,"Nevada Gold & Casinos, Inc.",2.17,$38.31M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/uwn
NSU,Nevsun Resources Ltd,2.39,$721.47M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nsu
GBR,"New Concept Energy, Inc",1.16,$2.26M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gbr
NEN,New England Realty Associates Limited Partnership,64.6,$242.08M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/nen
NGD,New Gold Inc.,2.84,$1.63B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ngd
HLTH,Nobilis Health Corp.,1.75,$135.85M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hlth
NSAT,Norsat International Inc.,9.8,$57.32M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/nsat
NAK,"Northern Dynasty Minerals, Ltd.",1.35,$399.47M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nak
NOG,"Northern Oil and Gas, Inc.",2.4,$151.8M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nog
NBY,"NovaBay Pharmaceuticals, Inc.",3.8,$57.51M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nby
NG,Novagold Resources Inc.,5.01,$1.61B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ng
NTN,"NTN Buzztime, Inc.",7.75,$17.52M,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ntn
NJV,Nuveen New Jersey Municipal Value Fund,14.7421,$22.86M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/njv
NPN,Nuveen Pennsylvania Municipal Value Fund,15.78,$19.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/npn
OCX,OncoCyte Corporation,5.5,$161.49M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/ocx
OGEN,"Oragenics, Inc.",0.49,$24.14M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ogen
TIS,Orchids Paper Products Company,26.41,$271.94M,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/tis
ONP,"Orient Paper, Inc.",1.0501,$22.52M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/onp
ORM,"Owens Realty Mortgage, Inc.",17.34,$177.69M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/orm
PHF,"Pacholder High Yield Fund, Inc.",7.74,$100.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/phf
PCG^A,Pacific Gas & Electric Co.,31.4265,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^a
PCG^B,Pacific Gas & Electric Co.,28.5924,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^b
PCG^C,Pacific Gas & Electric Co.,26.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^c
PCG^D,Pacific Gas & Electric Co.,26.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^d
PCG^E,Pacific Gas & Electric Co.,25.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^e
PCG^G,Pacific Gas & Electric Co.,25.02,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^g
PCG^H,Pacific Gas & Electric Co.,24.96,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^h
PCG^I,Pacific Gas & Electric Co.,24.883,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^i
PTN,"Palatin Technologies, Inc.",0.331,$45.66M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptn
PARR,"Par Pacific Holdings, Inc.",16.23,$739.09M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/parr
PZG,Paramount Gold Nevada Corp.,1.63,$28.98M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/pzg
TEUM,Pareteum Corporation,1.32,$14.7M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/teum
PRK,Park National Corporation,109.63,$1.68B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/prk
PED,Pedevco Corp.,0.1031,$5.14M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ped
PFNX,Pfenex Inc.,6.7,$156.9M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pfnx
PIP,"PharmAthene, Inc",0.825,$56.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pip
HNW,Pioneer Diversified High Income Trust,16,$133.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hnw
PLG,Platinum Group Metals Ltd.,1.67,$222.22M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/plg
PLM,Polymet Mining Corp.,0.77,$245.28M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/plm
PW,Power REIT,6.33,$11.3M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pw
PW^A,Power REIT,25.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pw^a
PLX,"Protalix BioTherapeutics, Inc.",1.22,$151.01M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/plx
RLGT,"Radiant Logistics, Inc.",5.46,$266.47M,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/rlgt
RLGT^A,"Radiant Logistics, Inc.",26.72,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rlgt^a
UTG,Reaves Utility Income Fund,32.36,$1.11B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/utg
REED,"Reeds, Inc.",3.9,$54.5M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/reed
RWC,RELM Wireless Corporation,5.1,$70.15M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/rwc
RCG,"RENN Fund, Inc.",1.33,$5.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rcg
RVP,"Retractable Technologies, Inc.",1.05,$33.24M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/rvp
RNN,"Rexahn Pharmaceuticals, Inc.",0.4795,$113.85M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rnn
REI,"Ring Energy, Inc.",10.38,$502.83M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rei
RIF,RMR Real Estate Income Fund,20.63,$157.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rif
SACH,Sachem Capital Corp.,4.94,$55M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sach
SGA,"Saga Communications, Inc.",48.95,$286.86M,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sga
SSN,Samson Oil & Gas Limited,0.596,$9.78M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssn
SPP,Sanchez Production Partners LP,15.4,$204.1M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/spp
SAND,Sandstorm Gold Ltd,4.11,$624.53M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/sand
SEB,Seaboard Corporation,4162.5,$4.87B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seb
SENS,"Senseonics Holdings, Inc.",1.95,$183.21M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sens
SVT,"Servotronics, Inc.",11.49,$28.35M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/svt
SIF,"SIFCO Industries, Inc.",8.3,$45.89M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/sif
SKY,Skyline Corporation,8.58,$72M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/sky
XPL,Solitario Exploration & Royalty Corp,0.8043,$31.13M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xpl
SCE^B,Southern California Edison Company,23.873,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^b
SCE^C,Southern California Edison Company,24.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^c
SCE^D,Southern California Edison Company,25.161,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^d
SCE^E,Southern California Edison Company,25.0499,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^e
SGB,Southwest Georgia Financial Corporation,22,$56.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sgb
LOV,"Spark Networks, Inc.",0.97,$30.92M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lov
SRCI,SRC Energy Inc.,7.75,$1.56B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srci
SGY.WS,Stone Energy Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgy.ws
STRP,Straight Path Communications Inc.,32.96,$410.78M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/strp
SSY,"SunLink Health Systems, Inc.",1.54,$14.54M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ssy
SDPI,"Superior Drilling Products, Inc.",0.91,$21.93M,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/sdpi
STS,"Supreme Industries, Inc.",19.73,$337.06M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/sts
SYN,"Synthetic Biologics, Inc",0.7706,$90.58M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/syn
TRX,Tanzanian Royalty Exploration Corporation,0.4825,$56.78M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/trx
TGB,Taseko Mines Limited,1.37,$306.71M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tgb
TIK,Tel-Instrument Electronics Corp.,4.45,$14.49M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/tik
TGC,"Tengasco, Inc.",0.52,$5.51M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tgc
GLU,The Gabelli Global Utility and Income Trust,17.88,$73.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glu
GLU^A,The Gabelli Global Utility and Income Trust,50.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/glu^a
GGO,The Gabelli Go Anywhere Trust,18,$108M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggo
GGO^A,The Gabelli Go Anywhere Trust,44.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggo^a
TXMD,"TherapeuticsMD, Inc.",7.06,$1.39B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/txmd
TGD,Timmons Gold Corp,0.3715,$132.12M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tgd
TMP,Tompkins Financial Corporation,86.51,$1.31B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tmp
TAT,Transatlantic Petroleum Ltd,1.15,$54.41M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tat
TRXC,"TransEnterix, Inc.",1.21,$148.5M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/trxc
TPLM,Triangle Petroleum Corporation,0.2388,$18.28M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tplm
TMQ,Trilogy Metals Inc.,0.53,$55.93M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tmq
TPHS,Trinity Place Holdings Inc.,7.33,$218.11M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/tphs
TRT,Trio-Tech International,4.0719,$14.3M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trt
HTM,U.S. Geothermal Inc.,4.17,$79.3M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/htm
UFAB,"Unique Fabricating, Inc.",11.71,$113.78M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ufab
UAMY,United States Antimony Corporation,0.47,$31.43M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/uamy
UUU,"Universal Security Instruments, Inc.",2.9709,$6.87M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/uuu
UQM,UQM TECHNOLOGIES INC,0.45,$21.84M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/uqm
URG,Ur Energy Inc,0.7849,$114.29M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urg
UEC,Uranium Energy Corp.,1.45,$196.04M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/uec
VSR,"Versar, Inc.",1.12,$11.08M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/vsr
VII,"Vicon Industries, Inc.",0.4199,$3.93M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/vii
VHC,VirnetX Holding Corp,2.15,$121.88M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/vhc
VGZ,Vista Gold Corporation,1.02,$99.74M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vgz
VNRX,VolitionRX Limited,4.42,$115.33M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vnrx
VISI,"Volt Information Sciences, Inc.",7.3,$152.7M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/visi
EAD,Wells Fargo Income Opportunities Fund,8.33,$590.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ead
ERC,Wells Fargo Multi-Sector Income Fund,13.27,$546.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/erc
ERH,Wells Fargo Utilities and High Income Fund,12.41,$114.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/erh
SBI,Western Asset Intermediate Muni Fund Inc,9.36,$131.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sbi
WRN,Western Copper and Gold Corporation,1.32,$125.52M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wrn
WYY,WidePoint Corporation,0.59,$48.81M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wyy
WTT,"Wireless Telecom Group,  Inc.",1.49,$33.09M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/wtt
XTNT,"Xtant Medical Holdings, Inc.",0.6378,$11.54M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xtnt
YUMA,"Yuma Energy, Inc.",2.5,$30.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/yuma
ZDGE,"Zedge, Inc.",3.28,$30.81M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/zdge
